GEMS Station Number;Sample Date;Sample Time;Depth;Parameter Code;Analysis Method Code;Value Flags;Value;Unit;Data Quality;Status
KEN00001;1977-02-16;12:00;0.0;Fe-Tot;FAAS-AAc-D-NA;;0.12;mg/l;Fair;
KEN00001;1977-02-16;12:00;0.0;Mn-Tot;FAAS-AAc-D-NA;;0.02;mg/l;Fair;
KEN00001;1977-02-16;12:00;0.0;Na-Dis;FAAS-AAc-D;;92.5;mg/l;Fair;
KEN00001;1977-02-16;12:00;0.0;pH;pH-POT-25;;8.7;---;Fair;
KEN00001;1977-02-16;12:00;0.0;Alk-Tot;Alk-T-POT-TE-Auto;;236.0;mg/l;Fair;
KEN00001;1977-02-16;12:00;0.0;EC;EC-CND-Pt;;480.0;µS/cm;Fair;
KEN00001;1982-04-26;12:00;0.3;EC;EC-CND-Pt;;700.0;µS/cm;Fair;
KEN00001;1982-04-26;12:00;0.3;TEMP;TEMP-THERMISTOR;;19.5;°C;Fair;
KEN00001;1982-04-26;12:00;0.3;Alk-Tot;Alk-T-POT-TE-Auto;;142.0;mg/l;Fair;
KEN00001;1982-04-26;12:00;0.3;pH;pH-POT-25;;7.1;---;Fair;
KEN00001;1982-04-26;12:00;0.3;Mg-Dis;T-COL-EDTA-EBT;;5.8;mg/l;Fair;
KEN00001;1982-04-26;12:00;0.3;Cl-Dis;T-COL-Hg-NO3-2;;24.0;mg/l;Fair;
KEN00001;1982-04-26;12:00;0.3;Ca-Dis;T-COL-EDTA-HNB;;8.4;mg/l;Fair;
KEN00001;1982-04-26;12:00;0.3;Mn-Tot;FAAS-AAc-D-NA;;0.4;mg/l;Fair;
KEN00001;1982-04-26;12:00;0.3;Fe-Tot;FAAS-AAc-D-NA;;2.2;mg/l;Fair;
KEN00001;1982-04-26;12:00;0.3;Q-Inst;W-Q-GAUGE;;52.8;m³/s;Fair;
KEN00001;1982-05-06;12:00;0.3;EC;EC-CND-Pt;;250.0;µS/cm;Fair;
KEN00001;1982-05-06;12:00;0.3;TEMP;TEMP-THERMISTOR;;19.0;°C;Fair;
KEN00001;1982-05-06;12:00;0.3;F-Dis;F-ISE;;1.3;mg/l;Fair;
KEN00001;1982-05-06;12:00;0.3;Alk-Tot;Alk-T-POT-TE-Auto;;164.0;mg/l;Fair;
KEN00001;1982-05-06;12:00;0.3;pH;pH-POT-25;;8.2;---;Fair;
KEN00001;1982-05-06;12:00;0.3;Mg-Dis;T-COL-EDTA-EBT;;7.6;mg/l;Fair;
KEN00001;1982-05-06;12:00;0.3;Cl-Dis;T-COL-Hg-NO3-2;;113.0;mg/l;Fair;
KEN00001;1982-05-06;12:00;0.3;Ca-Dis;T-COL-EDTA-HNB;;28.0;mg/l;Fair;
KEN00001;1982-05-06;12:00;0.3;Mn-Tot;FAAS-AAc-D-NA;;0.2;mg/l;Fair;
KEN00001;1982-05-06;12:00;0.3;Fe-Tot;FAAS-AAc-D-NA;;1.4;mg/l;Fair;
KEN00001;1982-05-06;12:00;0.3;Q-Inst;W-Q-GAUGE;;53.4;m³/s;Fair;
KEN00001;1982-05-13;12:00;0.3;EC;EC-CND-Pt;;200.0;µS/cm;Fair;
KEN00001;1982-05-13;12:00;0.3;TEMP;TEMP-THERMISTOR;;21.0;°C;Fair;
KEN00001;1982-05-13;12:00;0.3;F-Dis;F-ISE;;0.63;mg/l;Fair;
KEN00001;1982-05-13;12:00;0.3;Alk-Tot;Alk-T-POT-TE-Auto;;78.0;mg/l;Fair;
KEN00001;1982-05-13;12:00;0.3;pH;pH-POT-25;;7.9;---;Fair;
KEN00001;1982-05-13;12:00;0.3;Mg-Dis;T-COL-EDTA-EBT;;3.8;mg/l;Fair;
KEN00001;1982-05-13;12:00;0.3;Cl-Dis;T-COL-Hg-NO3-2;;8.8;mg/l;Fair;
KEN00001;1982-05-13;12:00;0.3;Ca-Dis;T-COL-EDTA-HNB;;8.2;mg/l;Fair;
KEN00001;1982-05-13;12:00;0.3;Mn-Tot;FAAS-AAc-D-NA;;0.1;mg/l;Fair;
KEN00001;1982-05-13;12:00;0.3;Fe-Tot;FAAS-AAc-D-NA;;0.7;mg/l;Fair;
KEN00001;1982-05-13;12:00;0.3;Q-Inst;W-Q-GAUGE;;12.22;m³/s;Fair;
KEN00001;1982-05-24;12:00;0.3;Q-Inst;W-Q-GAUGE;;12.21;m³/s;Fair;
KEN00001;1982-05-24;12:00;0.3;Cu-Tot;FAAS-APr-D-NA;;0.18;mg/l;Fair;
KEN00001;1982-05-24;12:00;0.3;Fe-Tot;FAAS-AAc-D-NA;<;0.1;mg/l;Fair;
KEN00001;1982-05-24;12:00;0.3;Mn-Tot;FAAS-AAc-D-NA;;0.1;mg/l;Fair;
KEN00001;1982-05-24;12:00;0.3;Cl-Dis;T-COL-Hg-NO3-2;;3.0;mg/l;Fair;
KEN00001;1982-05-24;12:00;0.3;SO4-Dis;SO4-TURB;;1.0;mg/l;Fair;
KEN00001;1982-05-24;12:00;0.3;pH;pH-POT-25;;7.7;---;Fair;
KEN00001;1982-05-24;12:00;0.3;Alk-Tot;Alk-T-POT-TE-Auto;;64.0;mg/l;Fair;
KEN00001;1982-05-24;12:00;0.3;F-Dis;F-ISE;;0.76;mg/l;Fair;
KEN00001;1982-05-24;12:00;0.3;NH3N;COL-PHE-APHA1976;;0.01;mg/l;Fair;
KEN00001;1982-05-24;12:00;0.3;NO3N;COL-BRU;;1.3;mg/l;Fair;
KEN00001;1982-05-24;12:00;0.3;NO2N;COL-AZO;;0.003;mg/l;Fair;
KEN00001;1982-05-24;12:00;0.3;TEMP;TEMP-THERMISTOR;;20.0;°C;Fair;
KEN00001;1982-05-24;12:00;0.3;EC;EC-CND-Pt;;150.0;µS/cm;Fair;
KEN00001;1983-01-10;12:00;0.3;EC;EC-CND-Pt;;260.0;µS/cm;Fair;
KEN00001;1983-01-10;12:00;0.3;TEMP;TEMP-THERMISTOR;;19.0;°C;Fair;
KEN00001;1983-01-10;12:00;0.3;F-Dis;F-ISE;;1.3;mg/l;Fair;
KEN00001;1983-01-10;12:00;0.3;Alk-Tot;Alk-T-POT-TE-Auto;;186.0;mg/l;Fair;
KEN00001;1983-01-10;12:00;0.3;pH;pH-POT-25;;8.1;---;Fair;
KEN00001;1983-01-10;12:00;0.3;Mg-Dis;T-COL-EDTA-EBT;;7.7;mg/l;Fair;
KEN00001;1983-01-10;12:00;0.3;SO4-Dis;SO4-TURB;;0.75;mg/l;Fair;
KEN00001;1983-01-10;12:00;0.3;Cl-Dis;T-COL-Hg-NO3-2;;11.0;mg/l;Fair;
KEN00001;1983-01-10;12:00;0.3;Ca-Dis;T-COL-EDTA-HNB;;26.0;mg/l;Fair;
KEN00001;1983-01-10;12:00;0.3;Mn-Tot;FAAS-AAc-D-NA;;0.1;mg/l;Fair;
KEN00001;1983-01-10;12:00;0.3;Fe-Tot;FAAS-AAc-D-NA;;0.8;mg/l;Fair;
KEN00001;1983-01-10;12:00;0.3;Q-Inst;W-Q-GAUGE;;57.7;m³/s;Fair;
KEN00001;1983-01-22;12:00;0.3;EC;EC-CND-Pt;;290.0;µS/cm;Fair;
KEN00001;1983-01-22;12:00;0.3;TEMP;TEMP-THERMISTOR;;21.0;°C;Fair;
KEN00001;1983-01-22;12:00;0.3;F-Dis;F-ISE;;1.4;mg/l;Fair;
KEN00001;1983-01-22;12:00;0.3;Alk-Tot;Alk-T-POT-TE-Auto;;148.0;mg/l;Fair;
KEN00001;1983-01-22;12:00;0.3;pH;pH-POT-25;;7.1;---;Fair;
KEN00001;1983-01-22;12:00;0.3;Mg-Dis;T-COL-EDTA-EBT;;9.5;mg/l;Fair;
KEN00001;1983-01-22;12:00;0.3;TRP;COL-SnCl;;0.22;mg/l;Fair;
KEN00001;1983-01-22;12:00;0.3;SO4-Dis;SO4-TURB;;0.3;mg/l;Fair;
KEN00001;1983-01-22;12:00;0.3;Cl-Dis;T-COL-Hg-NO3-2;;9.0;mg/l;Fair;
KEN00001;1983-01-22;12:00;0.3;Ca-Dis;T-COL-EDTA-HNB;;28.0;mg/l;Fair;
KEN00001;1983-01-22;12:00;0.3;Mn-Tot;FAAS-AAc-D-NA;;0.3;mg/l;Fair;
KEN00001;1983-01-22;12:00;0.3;Fe-Tot;FAAS-AAc-D-NA;;4.8;mg/l;Fair;
KEN00001;1983-01-22;12:00;0.3;Q-Inst;W-Q-GAUGE;;57.3;m³/s;Fair;
KEN00001;1983-07-30;12:00;0.3;EC;EC-CND-Pt;;150.0;µS/cm;Fair;
KEN00001;1983-07-30;12:00;0.3;TEMP;TEMP-THERMISTOR;;22.0;°C;Fair;
KEN00001;1983-07-30;12:00;0.3;Alk-Tot;Alk-T-POT-TE-Auto;;58.0;mg/l;Fair;
KEN00001;1983-07-30;12:00;0.3;pH;pH-POT-25;;8.2;---;Fair;
KEN00001;1983-07-30;12:00;0.3;Mg-Dis;T-COL-EDTA-EBT;;4.4;mg/l;Fair;
KEN00001;1983-07-30;12:00;0.3;SO4-Dis;SO4-TURB;;0.48;mg/l;Fair;
KEN00001;1983-07-30;12:00;0.3;Cl-Dis;T-COL-Hg-NO3-2;;4.0;mg/l;Fair;
KEN00001;1983-07-30;12:00;0.3;Ca-Dis;T-COL-EDTA-HNB;;6.4;mg/l;Fair;
KEN00001;1983-07-30;12:00;0.3;Q-Inst;W-Q-GAUGE;;12.07;m³/s;Fair;
KEN00001;1983-09-06;12:00;0.3;Q-Inst;W-Q-GAUGE;;52.4;m³/s;Fair;
KEN00001;1983-09-06;12:00;0.3;Ca-Dis;T-COL-EDTA-HNB;;21.0;mg/l;Fair;
KEN00001;1983-09-06;12:00;0.3;Cl-Dis;T-COL-Hg-NO3-2;;11.0;mg/l;Fair;
KEN00001;1983-09-06;12:00;0.3;SO4-Dis;SO4-TURB;;0.4;mg/l;Fair;
KEN00001;1983-09-06;12:00;0.3;Mg-Dis;T-COL-EDTA-EBT;;6.8;mg/l;Fair;
KEN00001;1983-09-06;12:00;0.3;pH;pH-POT-25;;8.2;---;Fair;
KEN00001;1983-09-06;12:00;0.3;Alk-Tot;Alk-T-POT-TE-Auto;;128.0;mg/l;Fair;
KEN00001;1983-09-06;12:00;0.3;F-Dis;F-ISE;;1.1;mg/l;Fair;
KEN00001;1983-09-06;12:00;0.3;TEMP;TEMP-THERMISTOR;;21.0;°C;Fair;
KEN00001;1983-09-06;12:00;0.3;EC;EC-CND-Pt;;230.0;µS/cm;Fair;
KEN00001;1983-11-17;12:00;0.3;EC;EC-CND-Pt;;270.0;µS/cm;Fair;
KEN00001;1983-11-17;12:00;0.3;TEMP;TEMP-THERMISTOR;;20.0;°C;Fair;
KEN00001;1983-11-17;12:00;0.3;F-Dis;F-ISE;;1.6;mg/l;Fair;
KEN00001;1983-11-17;12:00;0.3;Alk-Tot;Alk-T-POT-TE-Auto;;123.0;mg/l;Fair;
KEN00001;1983-11-17;12:00;0.3;pH;pH-POT-25;;8.3;---;Fair;
KEN00001;1983-11-17;12:00;0.3;Mg-Dis;T-COL-EDTA-EBT;;6.3;mg/l;Fair;
KEN00001;1983-11-17;12:00;0.3;SO4-Dis;SO4-TURB;;0.6;mg/l;Fair;
KEN00001;1983-11-17;12:00;0.3;Cl-Dis;T-COL-Hg-NO3-2;;13.0;mg/l;Fair;
KEN00001;1983-11-17;12:00;0.3;Ca-Dis;T-COL-EDTA-HNB;;20.0;mg/l;Fair;
KEN00001;1983-11-17;12:00;0.3;Q-Inst;W-Q-GAUGE;;55.05;m³/s;Fair;
KEN00001;1983-12-16;12:00;0.3;EC;EC-CND-Pt;;360.0;µS/cm;Fair;
KEN00001;1983-12-16;12:00;0.3;TEMP;TEMP-THERMISTOR;;19.0;°C;Fair;
KEN00001;1983-12-16;12:00;0.3;F-Dis;F-ISE;;1.4;mg/l;Fair;
KEN00001;1983-12-16;12:00;0.3;Alk-Tot;Alk-T-POT-TE-Auto;;104.0;mg/l;Fair;
KEN00001;1983-12-16;12:00;0.3;pH;pH-POT-25;;7.9;---;Fair;
KEN00001;1983-12-16;12:00;0.3;Mg-Dis;T-COL-EDTA-EBT;;6.8;mg/l;Fair;
KEN00001;1983-12-16;12:00;0.3;TRP;COL-SnCl;;0.74;mg/l;Fair;
KEN00001;1983-12-16;12:00;0.3;SO4-Dis;SO4-TURB;;2.4;mg/l;Fair;
KEN00001;1983-12-16;12:00;0.3;Cl-Dis;T-COL-Hg-NO3-2;;16.0;mg/l;Fair;
KEN00001;1983-12-16;12:00;0.3;Ca-Dis;T-COL-EDTA-HNB;;22.0;mg/l;Fair;
KEN00001;1983-12-16;12:00;0.3;Q-Inst;W-Q-GAUGE;;54.48;m³/s;Fair;
KEN00001;1984-02-10;12:00;0.3;EC;EC-CND-Pt;;140.0;µS/cm;Fair;
KEN00001;1984-02-10;12:00;0.3;TEMP;TEMP-THERMISTOR;;21.0;°C;Fair;
KEN00001;1984-02-10;12:00;0.3;F-Dis;F-ISE;;0.4;mg/l;Fair;
KEN00001;1984-02-10;12:00;0.3;Alk-Tot;Alk-T-POT-TE-Auto;;42.0;mg/l;Fair;
KEN00001;1984-02-10;12:00;0.3;pH;pH-POT-25;;7.8;---;Fair;
KEN00001;1984-02-10;12:00;0.3;Mg-Dis;T-COL-EDTA-EBT;;9.2;mg/l;Fair;
KEN00001;1984-02-10;12:00;0.3;TRP;COL-SnCl;<;0.01;mg/l;Fair;
KEN00001;1984-02-10;12:00;0.3;SO4-Dis;SO4-TURB;;5.7;mg/l;Fair;
KEN00001;1984-02-10;12:00;0.3;Cl-Dis;T-COL-Hg-NO3-2;;20.0;mg/l;Fair;
KEN00001;1984-02-10;12:00;0.3;Ca-Dis;T-COL-EDTA-HNB;;5.6;mg/l;Fair;
KEN00001;1984-02-10;12:00;0.3;Mn-Tot;FAAS-AAc-D-NA;;0.02;mg/l;Fair;
KEN00001;1984-02-10;12:00;0.3;Fe-Tot;FAAS-AAc-D-NA;;0.8;mg/l;Fair;
KEN00001;1984-02-10;12:00;0.3;Q-Inst;W-Q-GAUGE;;11.91;m³/s;Fair;
KEN00001;1985-07-11;12:00;0.3;EC;EC-CND-Pt;;140.0;µS/cm;Fair;
KEN00001;1985-07-11;12:00;0.3;TEMP;TEMP-THERMISTOR;;21.0;°C;Fair;
KEN00001;1985-07-11;12:00;0.3;NO2N;COL-AZO;;0.01;mg/l;Fair;
KEN00001;1985-07-11;12:00;0.3;NO3N;COL-BRU;;2.0;mg/l;Fair;
KEN00001;1985-07-11;12:00;0.3;NH3N;COL-PHE-APHA1976;;0.12;mg/l;Fair;
KEN00001;1985-07-11;12:00;0.3;BOD;BOD-T-COL-AZD;;15.0;mg/l;Fair;
KEN00001;1985-07-11;12:00;0.3;pH;pH-POT-25;;8.6;---;Fair;
KEN00001;1985-07-11;12:00;0.3;TRP;COL-SnCl;;0.32;mg/l;Fair;
KEN00001;1985-07-11;12:00;0.3;SO4-Dis;SO4-TURB;;5.0;mg/l;Fair;
KEN00001;1985-07-11;12:00;0.3;Cl-Dis;T-COL-Hg-NO3-2;;9.0;mg/l;Fair;
KEN00001;1985-07-11;12:00;0.3;Mn-Tot;FAAS-AAc-D-NA;;0.3;mg/l;Fair;
KEN00001;1985-07-11;12:00;0.3;Fe-Tot;FAAS-AAc-D-NA;<;0.1;mg/l;Fair;
KEN00001;1985-07-11;12:00;0.3;Q-Inst;W-Q-GAUGE;;12.11;m³/s;Fair;
KEN00001;1985-07-20;12:00;0.3;Q-Inst;W-Q-GAUGE;;42.0;m³/s;Fair;
KEN00001;1985-07-20;12:00;0.3;Fe-Tot;FAAS-AAc-D-NA;;1.0;mg/l;Fair;
KEN00001;1985-07-20;12:00;0.3;Mn-Tot;FAAS-AAc-D-NA;<;0.01;mg/l;Fair;
KEN00001;1985-07-20;12:00;0.3;Ca-Dis;T-COL-EDTA-HNB;;16.0;mg/l;Fair;
KEN00001;1985-07-20;12:00;0.3;Cl-Dis;T-COL-Hg-NO3-2;;15.0;mg/l;Fair;
KEN00001;1985-07-20;12:00;0.3;SO4-Dis;SO4-TURB;;2.8;mg/l;Fair;
KEN00001;1985-07-20;12:00;0.3;TRP;COL-SnCl;;0.01;mg/l;Fair;
KEN00001;1985-07-20;12:00;0.3;Mg-Dis;T-COL-EDTA-EBT;;6.6;mg/l;Fair;
KEN00001;1985-07-20;12:00;0.3;Na-Dis;FAAS-AAc-D;;88.0;mg/l;Fair;
KEN00001;1985-07-20;12:00;0.3;pH;pH-POT-25;;7.6;---;Fair;
KEN00001;1985-07-20;12:00;0.3;Alk-Tot;Alk-T-POT-TE-Auto;;158.0;mg/l;Fair;
KEN00001;1985-07-20;12:00;0.3;F-Dis;F-ISE;;3.5;mg/l;Fair;
KEN00001;1985-07-20;12:00;0.3;TEMP;TEMP-THERMISTOR;;19.0;°C;Fair;
KEN00001;1985-07-20;12:00;0.3;EC;EC-CND-Pt;;380.0;µS/cm;Fair;
KEN00001;1985-08-13;12:00;0.3;EC;EC-CND-Pt;;145.0;µS/cm;Fair;
KEN00001;1985-08-13;12:00;0.3;TEMP;TEMP-THERMISTOR;;20.0;°C;Fair;
KEN00001;1985-08-13;12:00;0.3;NO2N;COL-AZO;;0.012;mg/l;Fair;
KEN00001;1985-08-13;12:00;0.3;NO3N;COL-BRU;;1.0;mg/l;Fair;
KEN00001;1985-08-13;12:00;0.3;NH3N;COL-PHE-APHA1976;;0.2;mg/l;Fair;
KEN00001;1985-08-13;12:00;0.3;BOD;BOD-T-COL-AZD;;2.0;mg/l;Fair;
KEN00001;1985-08-13;12:00;0.3;Alk-Tot;Alk-T-POT-TE-Auto;;68.0;mg/l;Fair;
KEN00001;1985-08-13;12:00;0.3;pH;pH-POT-25;;8.6;---;Fair;
KEN00001;1985-08-13;12:00;0.3;TRP;COL-SnCl;;0.57;mg/l;Fair;
KEN00001;1985-08-13;12:00;0.3;SO4-Dis;SO4-TURB;;8.0;mg/l;Fair;
KEN00001;1985-08-13;12:00;0.3;Cl-Dis;T-COL-Hg-NO3-2;;4.0;mg/l;Fair;
KEN00001;1985-08-13;12:00;0.3;Mn-Tot;FAAS-AAc-D-NA;<;0.01;mg/l;Fair;
KEN00001;1985-08-13;12:00;0.3;Fe-Tot;FAAS-AAc-D-NA;<;0.1;mg/l;Fair;
KEN00001;1985-08-13;12:00;0.3;Q-Inst;W-Q-GAUGE;;12.01;m³/s;Fair;
KEN00001;1985-08-21;12:00;0.3;EC;EC-CND-Pt;;330.0;µS/cm;Fair;
KEN00001;1985-08-21;12:00;0.3;TEMP;TEMP-THERMISTOR;;19.5;°C;Fair;
KEN00001;1985-08-21;12:00;0.3;F-Dis;F-ISE;;4.5;mg/l;Fair;
KEN00001;1985-08-21;12:00;0.3;Alk-Tot;Alk-T-POT-TE-Auto;;172.0;mg/l;Fair;
KEN00001;1985-08-21;12:00;0.3;pH;pH-POT-25;;8.1;---;Fair;
KEN00001;1985-08-21;12:00;0.3;Na-Dis;FAAS-AAc-D;;115.0;mg/l;Fair;
KEN00001;1985-08-21;12:00;0.3;Mg-Dis;T-COL-EDTA-EBT;;15.0;mg/l;Fair;
KEN00001;1985-08-21;12:00;0.3;Cl-Dis;T-COL-Hg-NO3-2;;19.0;mg/l;Fair;
KEN00001;1985-08-21;12:00;0.3;K-Dis;FPD;;27.0;mg/l;Fair;
KEN00001;1985-08-21;12:00;0.3;Ca-Dis;T-COL-EDTA-HNB;;31.0;mg/l;Fair;
KEN00001;1985-08-21;12:00;0.3;Mn-Tot;FAAS-AAc-D-NA;;0.1;mg/l;Fair;
KEN00001;1985-08-21;12:00;0.3;Fe-Tot;FAAS-AAc-D-NA;;0.1;mg/l;Fair;
KEN00001;1985-08-21;12:00;0.3;Q-Inst;W-Q-GAUGE;;43.0;m³/s;Fair;
KEN00001;1985-10-23;12:00;0.3;EC;EC-CND-Pt;;320.0;µS/cm;Fair;
KEN00001;1985-10-23;12:00;0.3;TEMP;TEMP-THERMISTOR;;21.0;°C;Fair;
KEN00001;1985-10-23;12:00;0.3;F-Dis;F-ISE;;1.6;mg/l;Fair;
KEN00001;1985-10-23;12:00;0.3;Alk-Tot;Alk-T-POT-TE-Auto;;168.0;mg/l;Fair;
KEN00001;1985-10-23;12:00;0.3;pH;pH-POT-25;;8.0;---;Fair;
KEN00001;1985-10-23;12:00;0.3;Mg-Dis;T-COL-EDTA-EBT;;11.0;mg/l;Fair;
KEN00001;1985-10-23;12:00;0.3;TRP;COL-SnCl;;0.01;mg/l;Fair;
KEN00001;1985-10-23;12:00;0.3;SO4-Dis;SO4-TURB;;0.33;mg/l;Fair;
KEN00001;1985-10-23;12:00;0.3;Cl-Dis;T-COL-Hg-NO3-2;;15.0;mg/l;Fair;
KEN00001;1985-10-23;12:00;0.3;Ca-Dis;T-COL-EDTA-HNB;;20.0;mg/l;Fair;
KEN00001;1985-10-23;12:00;0.3;Mn-Tot;FAAS-AAc-D-NA;<;0.01;mg/l;Fair;
KEN00001;1985-10-23;12:00;0.3;Fe-Tot;FAAS-AAc-D-NA;;0.3;mg/l;Fair;
KEN00001;1985-10-23;12:00;0.3;Q-Inst;W-Q-GAUGE;;42.0;m³/s;Fair;
KEN00001;1986-02-28;12:00;0.3;EC;EC-CND-Pt;;385.0;µS/cm;Fair;
KEN00001;1986-02-28;12:00;0.3;TEMP;TEMP-THERMISTOR;;19.0;°C;Fair;
KEN00001;1986-02-28;12:00;0.3;NO3N;COL-BRU;<;0.01;mg/l;Fair;
KEN00001;1986-02-28;12:00;0.3;BOD;BOD-T-COL-AZD;;7.0;mg/l;Fair;
KEN00001;1986-02-28;12:00;0.3;COD;T-COL-K2CrO7;;46.0;mg/l;Fair;
KEN00001;1986-02-28;12:00;0.3;F-Dis;F-ISE;;2.4;mg/l;Fair;
KEN00001;1986-02-28;12:00;0.3;Alk-Tot;Alk-T-POT-TE-Auto;;156.0;mg/l;Fair;
KEN00001;1986-02-28;12:00;0.3;pH;pH-POT-25;;8.9;---;Fair;
KEN00001;1986-02-28;12:00;0.3;TSS;TSS-G;;66.0;mg/l;Fair;
KEN00001;1986-02-28;12:00;0.3;Cl-Dis;T-COL-Hg-NO3-2;;6.0;mg/l;Fair;
KEN00001;1986-02-28;12:00;0.3;Q-Inst;W-Q-GAUGE;;3.66;m³/s;Fair;
KEN00001;1986-04-29;12:00;0.3;Q-Inst;W-Q-GAUGE;;1884.2;m³/s;Fair;
KEN00001;1986-04-29;12:00;0.3;Fe-Tot;FAAS-AAc-D-NA;;2.05;mg/l;Fair;
KEN00001;1986-04-29;12:00;0.3;Mn-Tot;FAAS-AAc-D-NA;;0.18;mg/l;Fair;
KEN00001;1986-04-29;12:00;0.3;Ca-Dis;T-COL-EDTA-HNB;;14.0;mg/l;Fair;
KEN00001;1986-04-29;12:00;0.3;K-Dis;FPD;;21.0;mg/l;Fair;
KEN00001;1986-04-29;12:00;0.3;Cl-Dis;T-COL-Hg-NO3-2;;17.0;mg/l;Fair;
KEN00001;1986-04-29;12:00;0.3;SO4-Dis;SO4-TURB;;0.3;mg/l;Fair;
KEN00001;1986-04-29;12:00;0.3;TP;COL-SnCl-SA-PPS;;0.01;mg/l;Fair;
KEN00001;1986-04-29;12:00;0.3;TRP;COL-SnCl;;0.01;mg/l;Fair;
KEN00001;1986-04-29;12:00;0.3;SiO2-Rea;COL-HB;;1.4;mg/l;Fair;
KEN00001;1986-04-29;12:00;0.3;Mg-Dis;T-COL-EDTA-EBT;;20.0;mg/l;Fair;
KEN00001;1986-04-29;12:00;0.3;Na-Dis;FAAS-AAc-D;;43.0;mg/l;Fair;
KEN00001;1986-04-29;12:00;0.3;pH;pH-POT-25;;7.6;---;Fair;
KEN00001;1986-04-29;12:00;0.3;Alk-Tot;Alk-T-POT-TE-Auto;;160.0;mg/l;Fair;
KEN00001;1986-04-29;12:00;0.3;F-Dis;F-ISE;;2.3;mg/l;Fair;
KEN00001;1986-04-29;12:00;0.3;O2-Dis;O2-ISE;;9.2;mg/l;Fair;
KEN00001;1986-04-29;12:00;0.3;NO3N;COL-BRU;<;0.01;mg/l;Fair;
KEN00001;1986-04-29;12:00;0.3;NO2N;COL-AZO;;0.01;mg/l;Fair;
KEN00001;1986-04-29;12:00;0.3;TEMP;TEMP-THERMISTOR;;24.0;°C;Fair;
KEN00001;1986-04-29;12:00;0.3;EC;EC-CND-Pt;;335.0;µS/cm;Fair;
KEN00001;1986-06-13;12:00;0.3;Q-Inst;W-Q-GAUGE;;1884.2;m³/s;Fair;
KEN00001;1986-06-13;12:00;0.3;Fe-Tot;FAAS-AAc-D-NA;;0.7;mg/l;Fair;
KEN00001;1986-06-13;12:00;0.3;Mn-Tot;FAAS-AAc-D-NA;;0.14;mg/l;Fair;
KEN00001;1986-06-13;12:00;0.3;Ca-Dis;T-COL-EDTA-HNB;;13.4;mg/l;Fair;
KEN00001;1986-06-13;12:00;0.3;K-Dis;FPD;;15.0;mg/l;Fair;
KEN00001;1986-06-13;12:00;0.3;Cl-Dis;T-COL-Hg-NO3-2;;15.0;mg/l;Fair;
KEN00001;1986-06-13;12:00;0.3;SO4-Dis;SO4-TURB;;0.63;mg/l;Fair;
KEN00001;1986-06-13;12:00;0.3;TRP;COL-SnCl;;0.03;mg/l;Fair;
KEN00001;1986-06-13;12:00;0.3;SiO2-Rea;COL-HB;;11.0;mg/l;Fair;
KEN00001;1986-06-13;12:00;0.3;Mg-Dis;T-COL-EDTA-EBT;;7.8;mg/l;Fair;
KEN00001;1986-06-13;12:00;0.3;Na-Dis;FAAS-AAc-D;;38.0;mg/l;Fair;
KEN00001;1986-06-13;12:00;0.3;pH;pH-POT-25;;8.3;---;Fair;
KEN00001;1986-06-13;12:00;0.3;Alk-Tot;Alk-T-POT-TE-Auto;;168.0;mg/l;Fair;
KEN00001;1986-06-13;12:00;0.3;F-Dis;F-ISE;;1.9;mg/l;Fair;
KEN00001;1986-06-13;12:00;0.3;COD;T-COL-K2CrO7;;60.0;mg/l;Fair;
KEN00001;1986-06-13;12:00;0.3;BOD;BOD-T-COL-AZD;<;5.0;mg/l;Fair;
KEN00001;1986-06-13;12:00;0.3;O2-Dis;O2-ISE;;8.9;mg/l;Fair;
KEN00001;1986-06-13;12:00;0.3;NO3N;COL-BRU;<;0.01;mg/l;Fair;
KEN00001;1986-06-13;12:00;0.3;NO2N;COL-AZO;;0.02;mg/l;Fair;
KEN00001;1986-06-13;12:00;0.3;TEMP;TEMP-THERMISTOR;;19.0;°C;Fair;
KEN00001;1986-06-13;12:00;0.3;EC;EC-CND-Pt;;320.0;µS/cm;Fair;
KEN00001;1986-08-04;12:00;0.3;EC;EC-CND-Pt;;330.0;µS/cm;Fair;
KEN00001;1986-08-04;12:00;0.3;TEMP;TEMP-THERMISTOR;;20.0;°C;Fair;
KEN00001;1986-08-04;12:00;0.3;NO2N;COL-AZO;<;0.01;mg/l;Fair;
KEN00001;1986-08-04;12:00;0.3;NO3N;COL-BRU;<;0.01;mg/l;Fair;
KEN00001;1986-08-04;12:00;0.3;O2-Dis;O2-ISE;;12.7;mg/l;Fair;
KEN00001;1986-08-04;12:00;0.3;BOD;BOD-T-COL-AZD;;12.0;mg/l;Fair;
KEN00001;1986-08-04;12:00;0.3;COD;T-COL-K2CrO7;;60.0;mg/l;Fair;
KEN00001;1986-08-04;12:00;0.3;F-Dis;F-ISE;;1.8;mg/l;Fair;
KEN00001;1986-08-04;12:00;0.3;Alk-Tot;Alk-T-POT-TE-Auto;;146.0;mg/l;Fair;
KEN00001;1986-08-04;12:00;0.3;pH;pH-POT-25;;9.0;---;Fair;
KEN00001;1986-08-04;12:00;0.3;TSS;TSS-G;;45.0;mg/l;Fair;
KEN00001;1986-08-04;12:00;0.3;Na-Dis;FAAS-AAc-D;;49.0;mg/l;Fair;
